Open,High,Low,Close,Volume
54127.18,54134.98,54071.77,54080.64,0.35691
54096.25,54126.74,54057.66,54090.27,0.2284
54092.93,54115.2,54084.95,54104.62,1.50829
54095.7,54124.57,54037.1,54054.22,0.51821
54068.53,54103.15,54038.55,54047.6,1.44559
54044.33,54077.86,54034.74,54072.09,0.6708
54083.37,54157.53,54083.37,54107.6,0.48479
54107.6,54156.3,54101.76,54142.05,0.47596
54151.94,54206.5,54126.91,54192.67,0.61915
54203.02,54226.21,54202.92,54209.42,0.35571
54229.25,54241.38,54182.5,54182.5,0.33989
54183.41,54222.35,54165.29,54222.35,0.20616
54189.24,54236.29,54188.56,54236.29,0.95576
54215.49,54247.47,54198.64,54247.47,0.26116
54237.64,54280.61,54222.32,54222.32,0.60015
54252.6,54252.6,54190.78,54207.35,0.16369
54191.85,54191.85,54158.61,54160.92,0.38938
54151.65,54176.39,54135.92,54139.68,0.19037
54139.68,54157.02,54092.43,54106.23,0.30859
54093.44,54123.09,54070.44,54116.26,0.79078
54137.55,54266.7,54132.71,54228.43,0.9127
54240.52,54261.01,54217.61,54229.65,0.40317
54228.07,54291.73,54225.69,54287.04,5.72506
54260.01,54283.39,54246.58,54246.58,0.25033
54278.39,54283.41,54228.11,54228.11,0.16202
54233.68,54251.2,54204.13,54213.09,0.37376
54211.15,54221.47,54169.4,54186.79,0.31081
54193.24,54219.92,54166.79,54171.22,4.16201
54182.59,54206.36,54175.08,54206.36,1.12754
54195.19,54228.49,54192.56,54227.3,0.23614
54192.92,54192.92,54111.95,54128.39,0.64544
54128.05,54216.93,54128.05,54138.91,1.32567
54153.67,54158.34,54065.51,54065.51,0.39465
54096.08,54096.08,54011.02,54022.28,0.13243
54026.41,54092.92,54022.35,54091.58,0.70626
54097.17,54099.97,54078.53,54078.53,0.28513
54093.44,54100.0,54026.01,54047.67,0.48372
54046.55,54062.11,54014.91,54058.03,0.535
54036.3,54080.8,54036.3,54080.8,0.09092
54072.82,54092.27,54058.77,54092.27,0.15794
54084.08,54117.38,54064.31,54076.41,0.78017
54062.44,54115.95,54053.68,54115.24,0.28846
54075.56,54099.94,54066.33,54095.04,0.0611
54095.05,54095.05,54038.35,54091.79,1.0946
54071.33,54149.57,54071.33,54149.57,0.1323
54142.4,54142.4,54020.74,54020.74,2.24766
54045.29,54062.79,54045.29,54047.82,0.3654
54070.76,54109.43,54061.18,54061.18,0.14204
54074.81,54100.09,54062.53,54067.34,0.11175
54062.9,54066.48,53984.74,53984.74,2.316
54039.02,54098.84,54005.27,54084.53,1.15222
54096.21,54106.41,54060.98,54105.99,0.21965
54106.35,54123.98,54065.23,54076.9,0.6179
54076.9,54091.96,54027.17,54027.17,1.12621
54049.13,54062.86,54033.47,54034.52,0.27054
54045.89,54051.08,54009.45,54017.27,0.46208
54000.21,54048.37,54000.21,54032.34,0.21787
54015.83,54037.87,53998.25,53998.25,0.43366
54017.79,54038.63,54002.84,54018.45,0.22261
54041.51,54099.13,53997.09,54083.06,0.47544
54073.17,54094.62,54064.28,54079.38,0.2635
54067.64,54087.49,54014.71,54039.77,0.36605
54026.95,54027.88,54002.77,54012.66,0.28455
54006.27,54032.36,54004.01,54020.01,1.19632
54024.06,54031.95,54012.05,54028.13,0.12975
54011.36,54011.36,53948.65,53948.65,2.58857
53961.57,54028.09,53961.57,54028.09,0.71424
54020.78,54020.78,53964.16,53964.16,0.25199
53958.35,53967.55,53940.89,53960.37,0.1366
53935.27,53962.01,53935.27,53955.76,0.18572
53953.36,53953.36,53914.87,53928.8,0.08245
53938.21,53938.21,53900.0,53936.4,1.99411
53900.8,53923.13,53889.78,53923.13,0.78907
53902.85,53914.52,53849.24,53849.24,0.4186
53846.26,53917.46,53846.26,53899.0,0.95665
53909.55,53915.29,53865.95,53865.95,0.45092
53872.29,53917.11,53872.29,53882.18,0.54068
53883.17,53931.57,53872.64,53917.42,0.24401
53917.81,53969.08,53905.5,53951.19,0.27654
53941.01,53958.43,53930.31,53950.22,0.05505
53945.28,53953.45,53926.94,53929.84,0.12025
53940.69,53975.84,53940.69,53975.69,0.06333
53978.57,53979.57,53944.26,53944.26,0.05591
53952.25,53993.57,53931.96,53986.75,1.04532
53974.41,53974.41,53938.09,53938.09,0.06708
53931.52,53950.36,53929.81,53942.25,0.2014
53952.24,53952.24,53919.66,53937.53,0.49967
53922.15,53938.65,53894.29,53915.49,2.11569
53914.05,53919.32,53902.56,53913.09,0.13048
53923.72,53976.25,53923.72,53975.88,2.15731
53979.84,54013.51,53971.47,54011.68,0.39454
54022.57,54024.55,53995.24,54004.91,0.24374
53999.2,54053.01,53999.09,54053.01,0.15093
54041.76,54041.76,54000.45,54008.68,0.03186
54019.73,54034.48,54019.72,54034.47,0.09976
54034.47,54037.58,54004.94,54037.58,0.17072
54033.94,54091.2,54032.25,54032.25,0.6923
54041.9,54041.9,53990.11,54006.82,0.36334
54013.13,54013.13,53877.57,53883.99,5.41452
53873.75,53920.66,53873.75,53919.63,0.74518
53960.83,53964.31,53960.83,53962.57,0.02704
53962.13,53962.13,53891.76,53923.07,1.01611
53927.13,53956.67,53927.13,53954.68,0.02811
53961.87,53982.45,53956.25,53982.45,0.61401
53985.14,54012.71,53982.11,53984.83,0.16425
