,open_time,open,high,low,closed,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2021-10-05 01:59:59.999,1633424100000,49746.58000000,50000.00000000,49736.65000000,49919.99000000,474.79204000,1633424399999,23695753.12112180,13642,343.96949000,17171585.26181100,0
2021-10-05 02:04:59.999,1633424400000,49920.00000000,49991.22000000,49803.52000000,49809.89000000,244.72513000,1633424699999,12214390.97347960,6419,126.69879000,6324255.59145900,0
2021-10-05 02:09:59.999,1633424700000,49809.90000000,49957.41000000,49809.32000000,49854.88000000,196.37156000,1633424999999,9793075.49095710,4465,85.08381000,4243802.80735850,0
2021-10-05 02:14:59.999,1633425000000,49854.87000000,49930.29000000,49824.57000000,49888.82000000,146.67679000,1633425299999,7314229.92466490,4481,76.25002000,3802095.86671310,0
2021-10-05 02:19:59.999,1633425300000,49888.82000000,50070.00000000,49584.40000000,49798.97000000,829.24780000,1633425599999,41342469.27360380,23422,513.99109000,25646335.91688360,0
2021-10-05 02:24:59.999,1633425600000,49798.96000000,49925.34000000,49727.20000000,49871.62000000,254.01280000,1633425899999,12657018.32912900,6126,117.44666000,5851887.11998040,0
2021-10-05 02:29:59.999,1633425900000,49871.62000000,49892.27000000,49753.89000000,49760.23000000,208.61940000,1633426199999,10389902.30639690,4634,92.71084000,4617286.07347750,0
2021-10-05 02:34:59.999,1633426200000,49760.24000000,49893.53000000,49704.00000000,49887.98000000,148.26248000,1633426499999,7386155.88079500,3917,73.31621000,3652713.01878660,0
2021-10-05 02:39:59.999,1633426500000,49887.99000000,49945.61000000,49820.60000000,49928.97000000,141.17636000,1633426799999,7042242.12446840,3636,63.28114000,3156919.31649200,0
2021-10-05 02:44:59.999,1633426800000,49928.97000000,50249.00000000,49918.71000000,50192.27000000,528.19459000,1633427099999,26460195.99788380,20250,318.78333000,15970322.28682740,0
2021-10-05 02:49:59.999,1633427100000,50192.25000000,50266.77000000,50065.00000000,50206.65000000,359.11273000,1633427399999,18023496.05023190,14187,187.33277000,9402267.38377280,0
2021-10-05 02:54:59.999,1633427400000,50210.97000000,50300.00000000,50165.83000000,50210.00000000,300.38003000,1633427699999,15088727.21893720,9386,173.07935000,8694497.37073610,0
2021-10-05 02:59:59.999,1633427700000,50210.00000000,50328.00000000,50200.83000000,50269.35000000,367.82117000,1633427999999,18491766.98974750,9306,216.79936000,10898987.97513590,0
2021-10-05 03:04:59.999,1633428000000,50269.35000000,50313.80000000,50126.10000000,50221.55000000,337.79111000,1633428299999,16961820.95291280,9715,180.45009000,9061106.04434770,0
2021-10-05 03:09:59.999,1633428300000,50221.54000000,50269.05000000,50200.49000000,50233.07000000,149.14626000,1633428599999,7490925.78500620,4770,68.31152000,3430967.68605290,0
2021-10-05 03:14:59.999,1633428600000,50233.07000000,50292.10000000,50200.98000000,50270.30000000,166.43530000,1633428899999,8364126.57864110,4857,89.47962000,4496697.13455130,0
2021-10-05 03:19:59.999,1633428900000,50270.30000000,50350.00000000,50072.27000000,50173.45000000,414.48035000,1633429199999,20823266.75565960,9983,214.20769000,10766534.80985430,0
