,open_time,open,high,low,closed,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2021-10-05 01:59:59.999,1633424100000,3408.84000000,3420.50000000,3408.32000000,3418.22000000,2969.58360000,1633424399999,10141960.15104300,5215,1790.94540000,6117136.20552800,0
2021-10-05 02:04:59.999,1633424400000,3418.22000000,3425.17000000,3409.20000000,3409.46000000,2382.82960000,1633424699999,8143660.36029800,7415,1140.03510000,3897346.18128300,0
2021-10-05 02:09:59.999,1633424700000,3409.46000000,3413.85000000,3405.00000000,3408.29000000,1539.34120000,1633424999999,5247812.88866200,3146,826.93290000,2819562.81658200,0
2021-10-05 02:14:59.999,1633425000000,3408.29000000,3409.31000000,3402.59000000,3404.66000000,1519.25590000,1633425299999,5174355.32631800,2812,803.58820000,2736750.40659100,0
2021-10-05 02:19:59.999,1633425300000,3404.65000000,3415.01000000,3382.46000000,3398.38000000,4223.18740000,1633425599999,14347031.97100300,8063,2122.01670000,7208760.99558200,0
2021-10-05 02:24:59.999,1633425600000,3398.72000000,3410.69000000,3393.18000000,3407.59000000,1569.47410000,1633425899999,5342182.47681100,4625,851.39750000,2897979.34010000,0
2021-10-05 02:29:59.999,1633425900000,3407.59000000,3409.03000000,3397.50000000,3397.51000000,1264.06130000,1633426199999,4298704.27089300,3368,687.56420000,2338082.27904700,0
2021-10-05 02:34:59.999,1633426200000,3397.52000000,3406.53000000,3392.61000000,3406.13000000,1537.27490000,1633426499999,5227977.64210400,3379,925.72420000,3148097.59786600,0
2021-10-05 02:39:59.999,1633426500000,3406.13000000,3412.32000000,3402.46000000,3410.59000000,1037.86910000,1633426799999,3536000.65553200,2779,601.50630000,2049348.95055200,0
2021-10-05 02:44:59.999,1633426800000,3410.59000000,3427.57000000,3410.14000000,3423.45000000,3164.61180000,1633427099999,10816283.82375900,6987,1877.40650000,6416452.50294600,0
2021-10-05 02:49:59.999,1633427100000,3423.45000000,3426.25000000,3414.24000000,3423.75000000,2448.08470000,1633427399999,8376773.98233500,4976,1366.08560000,4674509.08065600,0
2021-10-05 02:54:59.999,1633427400000,3423.75000000,3433.00000000,3423.75000000,3430.18000000,2775.51000000,1633427699999,9518138.43474300,7280,1488.28590000,5103360.84615300,0
2021-10-05 02:59:59.999,1633427700000,3430.19000000,3452.74000000,3429.68000000,3450.47000000,6653.97640000,1633427999999,22919770.66779200,31486,4043.83130000,13930141.03960900,0
2021-10-05 03:04:59.999,1633428000000,3450.47000000,3460.00000000,3442.06000000,3451.60000000,5241.35190000,1633428299999,18102062.47955700,21974,2517.64790000,8694545.36573900,0
2021-10-05 03:09:59.999,1633428300000,3451.63000000,3462.15000000,3449.60000000,3456.38000000,2920.99140000,1633428599999,10096920.34205600,7257,1695.76110000,5861896.02403900,0
2021-10-05 03:14:59.999,1633428600000,3456.38000000,3465.97000000,3455.71000000,3465.34000000,2467.21110000,1633428899999,8538662.25760000,6674,1361.07770000,4711146.10449000,0
2021-10-05 03:19:59.999,1633428900000,3465.38000000,3473.89000000,3449.74000000,3453.65000000,5988.43680000,1633429199999,20731694.91847900,14620,2937.45340000,10170611.65765400,0
2021-10-05 03:24:59.999,1633429200000,3453.68000000,3458.48000000,3445.53000000,3445.92000000,1959.81400000,1633429499999,6763356.00229200,4952,972.35400000,3356145.21153400,0
2021-10-05 03:29:59.999,1633429500000,3445.92000000,3456.00000000,3444.26000000,3453.83000000,2142.41940000,1633429799999,7394540.69776300,4599,1228.93880000,4242259.35674800,0
2021-10-05 03:34:59.999,1633429800000,3453.83000000,3458.37000000,3449.50000000,3451.97000000,1096.97440000,1633430099999,3787854.79258900,3535,544.87170000,1881448.72953900,0
2021-10-05 03:39:59.999,1633430100000,3451.99000000,3453.35000000,3446.36000000,3446.99000000,1031.97710000,1633430399999,3560589.48071600,3442,509.79700000,1759153.89378000,0
2021-10-05 03:44:59.999,1633430400000,3446.99000000,3447.23000000,3442.00000000,3443.40000000,1088.29560000,1633430699999,3749144.79404000,3514,523.17150000,1802288.08146000,0
2021-10-05 03:49:59.999,1633430700000,3443.40000000,3443.63000000,3433.17000000,3439.45000000,2276.39200000,1633430999999,7827178.34597600,5852,849.87010000,2921981.88776100,0
2021-10-05 03:54:59.999,1633431000000,3439.37000000,3439.37000000,3426.41000000,3432.58000000,2040.02090000,1633431299999,7002423.66824800,5472,1053.14260000,3614590.15991800,0
2021-10-05 03:59:59.999,1633431300000,3432.63000000,3440.12000000,3432.62000000,3437.09000000,1241.16940000,1633431599999,4266539.87481100,3522,780.82240000,2683986.82056500,0
2021-10-05 04:04:59.999,1633431600000,3437.08000000,3444.59000000,3434.34000000,3441.21000000,1219.26870000,1633431899999,4194730.17624300,3411,705.72500000,2427851.35335500,0
2021-10-05 04:09:59.999,1633431900000,3441.27000000,3447.64000000,3440.79000000,3443.13000000,1131.39370000,1633432199999,3896747.46063200,3426,703.99250000,2424683.87557300,0
2021-10-05 04:14:59.999,1633432200000,3443.12000000,3450.77000000,3440.10000000,3450.63000000,1434.33480000,1633432499999,4943305.27897600,3399,684.92850000,2361607.67336700,0
2021-10-05 04:19:59.999,1633432500000,3450.63000000,3455.00000000,3448.26000000,3453.44000000,1298.14900000,1633432799999,4480414.38306600,3312,638.42940000,2203429.85355200,0
2021-10-05 04:24:59.999,1633432800000,3453.22000000,3458.39000000,3451.01000000,3456.99000000,1297.94600000,1633433099999,4484524.96780400,3375,744.52450000,2572066.35850600,0
2021-10-05 04:29:59.999,1633433100000,3457.00000000,3459.00000000,3450.05000000,3455.73000000,1011.86590000,1633433399999,3495669.54117500,3131,582.96090000,2013957.49981800,0
2021-10-05 04:34:59.999,1633433400000,3455.73000000,3457.00000000,3450.04000000,3450.80000000,981.19050000,1633433699999,3390228.97174400,2406,514.14730000,1776528.13435000,0
2021-10-05 04:39:59.999,1633433700000,3450.80000000,3453.97000000,3446.18000000,3449.13000000,1191.44780000,1633433999999,4110091.14362200,3201,570.68920000,1968599.38567400,0
2021-10-05 04:44:59.999,1633434000000,3449.14000000,3451.00000000,3441.79000000,3444.50000000,1046.65210000,1633434299999,3607987.37347800,2890,445.38340000,1535351.36202900,0
2021-10-05 04:49:59.999,1633434300000,3444.50000000,3448.94000000,3441.22000000,3445.34000000,1376.29720000,1633434599999,4741619.80513100,2798,757.47730000,2609660.32724300,0
2021-10-05 04:54:59.999,1633434600000,3445.34000000,3452.90000000,3445.09000000,3448.83000000,1092.35600000,1633434899999,3767682.28896100,2834,513.99630000,1772843.00821400,0
2021-10-05 04:59:59.999,1633434900000,3448.83000000,3449.98000000,3440.03000000,3445.02000000,1654.76140000,1633435199999,5701426.41252800,3607,601.39310000,2071953.33649700,0
2021-10-05 05:04:59.999,1633435200000,3445.02000000,3451.14000000,3440.65000000,3443.49000000,2811.72820000,1633435499999,9689482.59353800,5313,1005.81700000,3466086.96380600,0
2021-10-05 05:09:59.999,1633435500000,3443.50000000,3444.25000000,3437.01000000,3441.13000000,1655.19710000,1633435799999,5693714.74645200,3829,641.23340000,2205713.09442400,0
2021-10-05 05:14:59.999,1633435800000,3441.14000000,3447.17000000,3439.26000000,3442.34000000,901.54930000,1633436099999,3104582.85072000,2805,481.63270000,1658665.62871500,0
2021-10-05 05:19:59.999,1633436100000,3442.34000000,3446.93000000,3440.00000000,3446.58000000,1305.01980000,1633436399999,4494335.84885400,3392,807.66690000,2781611.82551200,0
2021-10-05 05:24:59.999,1633436400000,3446.58000000,3449.28000000,3441.08000000,3441.30000000,786.98360000,1633436699999,2711441.30041000,2814,417.30100000,1437782.39557700,0
2021-10-05 05:29:59.999,1633436700000,3441.31000000,3442.26000000,3438.28000000,3440.37000000,683.91190000,1633436999999,2352920.79471600,2322,337.77550000,1162118.92568900,0
2021-10-05 05:34:59.999,1633437000000,3440.36000000,3443.45000000,3434.18000000,3439.36000000,1148.08520000,1633437299999,3947982.51063400,2937,727.10760000,2500466.07664200,0
