Open Time,Open,High,Low,Close,Volume
1/1/2021,28964.54,29680,28608.73,29407.93,1736.62048
1/2/2021,29393.99,33500,29027.03,32215.18,4227.234681
1/3/2021,32216.13,34851.3,32002.65,33033.26,3523.88112
1/4/2021,33040,33648.27,28000,32017.58,4218.572357
1/5/2021,32027.11,34498,29882.3,34059.7,3150.244271
1/6/2021,34057.84,37000,33343.24,36834.77,4168.293259
1/7/2021,36859.03,40390.98,36005,39494.85,4330.386536
1/8/2021,39504.38,42037.99,36286.12,40622.89,4042.516723
1/9/2021,40645.36,41422.59,38717.42,40238.43,2235.391656
1/10/2021,40239.66,41453.67,35105.94,38156.4,3134.32525
1/11/2021,38150.92,38265.27,30239.51,35421.45,7061.733057
1/12/2021,35460.42,36637.61,32504.47,34074.89,4671.208936
1/13/2021,34045.93,37800,32344.85,37369.85,4095.861581
1/14/2021,37369.85,40100,36754.17,39094.19,4029.856519
1/15/2021,39113.82,39689.65,34318,36768.77,5308.255743
1/16/2021,36751.33,38000,35370.39,35991.67,3225.453099
1/17/2021,35991.66,36847.01,33790.5,35818.76,2757.680853
1/18/2021,35801.66,37499.92,34761.67,36645.06,2977.824935
1/19/2021,36645.26,37967.29,35875.72,35875.72,3584.123243
1/20/2021,35928.27,36412.99,33390.93,35509.09,4140.697658
1/21/2021,35478.5,35612.24,30050,30841.62,6355.233442
1/22/2021,30845.85,33862.06,28800,32994.37,5579.811413
1/23/2021,32973.31,33485.16,31425.89,32098.02,2427.427146
1/24/2021,32098.02,33096.77,30949.15,32302.42,1680.715239
1/25/2021,32296.36,34900,31927.29,32259.82,3786.754748
1/26/2021,32259.82,32934.14,30747.24,32499.43,3620.442961
1/27/2021,32505.08,32573.85,29240,30404.7,4569.563129
1/28/2021,30419.72,33848.16,29878.28,33454.22,3955.900068
1/29/2021,33448.07,38639.19,31977.27,34268.18,7160.952542
1/30/2021,34250.03,34936.14,32821.83,34311.15,2743.856826
1/31/2021,34302.16,34379.02,32200.04,33130.26,2117.537392
2/1/2021,33120.51,34781.92,32324.02,33545.58,2599.698816
2/2/2021,33530.59,36025.69,33440.86,35516.68,3360.726349
2/3/2021,35500,37685.71,35404.21,37661.46,3210.012506
2/4/2021,37637.44,38759.09,36192.89,36976.61,3025.320823
2/5/2021,36962.83,38366.53,36606.29,38333.51,2393.116571
2/6/2021,38341.86,41000,38233.51,39256.58,2762.273494
2/7/2021,39281.34,39742.88,37376.72,38866.41,2805.701513
2/8/2021,38860.36,47500,37000,46452.01,4452.160613
2/9/2021,46457.14,48216.56,45000,46488.27,4025.386589
2/10/2021,46480.68,47379.74,43741.91,44858.18,3472.690116
2/11/2021,44844.88,48692.99,44007.78,47997.3,2685.789315
2/12/2021,48007.4,48999,46191.22,47446.08,3020.949948
2/13/2021,47424.7,48206.2,46210.36,47214.7,2035.610661
2/14/2021,47227.37,49735.42,47080,48629.31,1962.701175
2/15/2021,48626.59,49033.9,45777.81,47905.52,2384.181723
2/16/2021,47916.82,50644.84,47022.88,49145.89,2585.964327
2/17/2021,49157.32,52637.5,48950.66,52122.96,2694.39073
2/18/2021,52147.31,52541.74,50882.83,51592.33,2255.373924
2/19/2021,51581.01,56414.43,50627.41,55919.45,2794.088065
2/20/2021,55919.45,57584.45,53444.57,55900,2339.565305
2/21/2021,55894.86,58367.75,55520.21,57484.39,1903.959506
2/22/2021,57463.71,57561.55,47701,54110.42,5641.997695
2/23/2021,54101.03,54218.22,44901.96,48878.02,6957.534648
2/24/2021,48876.11,51412.64,46989.91,49694.58,3450.7451
2/25/2021,49698.82,52072.02,46702.5,47029.58,3538.668205
2/26/2021,47082.14,48450,44112,46367.18,3936.663434
2/27/2021,46301.59,48369.99,45000,46167.3,1759.600683
2/28/2021,46141.75,46675.22,43000,45215.21,2818.147904
3/1/2021,45243.69,49850,45031.37,49647.3,2942.353509
3/2/2021,49647.3,50262.96,47060,48494.34,2097.905702
3/3/2021,48462.4,52667.39,48137.77,50379.88,2318.723783
3/4/2021,50381.67,51785.71,47500,48360.96,2542.465502
3/5/2021,48348.75,49483.43,46296.16,48741.18,2163.308105
3/6/2021,48787.96,49204.79,47068.13,48893.51,1125.150873
3/7/2021,48915.02,51469.78,48915.02,50979.57,1429.356213
3/8/2021,50980.49,52423.36,49318.79,52423.32,1995.944236
3/9/2021,52403.3,54900,51854.85,54900,2114.069026
3/10/2021,54893.57,57400,53030,55881.84,2442.66238
3/11/2021,55853.46,58162.6,54250.65,57795.55,2160.784393
3/12/2021,57795.55,58082.37,55008.09,57226.46,1907.321473
3/13/2021,57278.41,61800,56084.83,61153.84,2201.590225
3/14/2021,61182.49,61682.47,58979.41,59011.65,1388.168012
3/15/2021,59000,61720,54559.5,55628.69,3045.067979
3/16/2021,55637.22,57708.86,53275,56925.26,2524.848256
3/17/2021,56908.8,59000,54137.72,58947.13,1998.71466
3/18/2021,58941.7,60115.06,56978.69,57654.2,2125.526887
3/19/2021,57633.36,59470.47,56275.94,58066.76,2051.297988
3/20/2021,58040.39,59900,57830.24,58109.81,1100.584668
3/21/2021,58092.11,58622.74,55436.5,57367.35,1291.222361
3/22/2021,57353.03,58418.3,53680.25,54098.64,1734.487206
3/23/2021,54080.13,55831.63,52990.25,54374.21,1846.800257
3/24/2021,54356.22,57226.74,51600,52306.87,2413.969452
3/25/2021,52281.91,53529.37,50363.16,51311.53,2673.824034
3/26/2021,51310.88,55117.58,51251.93,55078.95,2821.370805
3/27/2021,55068.25,56642.52,53939.73,55845.08,1987.067559
3/28/2021,55849.07,56540.59,54687.19,55767.6,1439.254926
3/29/2021,55776.4,58427.6,54895,57595.59,2684.973422
3/30/2021,57602.51,59369.23,57040.22,58779.8,1840.435567
3/31/2021,58768.34,59824.12,56743.63,58771.1,2207.20271
4/1/2021,58760.1,59500,57920,58713.1,1612.435853
4/2/2021,58705.79,60143.55,58448.76,58968.56,1415.25845
4/3/2021,58964.97,59999,56897.78,57091.96,1474.741888
4/4/2021,57065.56,58500,56456.41,58221.71,1198.042275
