,open_time,open,high,low,closed,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2020-05-27 16:59:59.999,1590537600000,200.92000000,208.44000000,200.76000000,208.29000000,494816.72727000,1590623999999,101445351.02566320,167619,252824.22653000,51832733.59846020,0
2020-05-28 16:59:59.999,1590624000000,208.29000000,220.50000000,204.67000000,220.21000000,643945.97769000,1590710399999,136361627.34641550,219160,352366.88360000,74663823.75714590,0
2020-05-29 16:59:59.999,1590710400000,220.24000000,224.79000000,217.57000000,220.67000000,603058.07590000,1590796799999,133220045.49547060,217959,301826.51829000,66680504.40036720,0
2020-05-30 16:59:59.999,1590796800000,220.63000000,247.00000000,218.80000000,243.66000000,1019550.75146000,1590883199999,238678839.80930440,341862,511425.44765000,119730479.77167950,0
2020-05-31 16:59:59.999,1590883200000,243.71000000,245.39000000,229.58000000,231.57000000,821608.68884000,1590969599999,194867426.29418620,320066,381831.06077000,90551397.67858910,0
2020-06-01 16:59:59.999,1590969600000,231.56000000,250.68000000,230.66000000,248.23000000,823816.69936000,1591055999999,198791911.84704420,318497,426075.31776000,102865011.74578850,0
2020-06-02 16:59:59.999,1591056000000,248.23000000,253.80000000,225.00000000,237.71000000,955520.91863000,1591142399999,230680327.30929150,355417,462682.15945000,111744961.57192750,0
2020-06-03 16:59:59.999,1591142400000,237.71000000,245.00000000,232.71000000,244.52000000,502928.13371000,1591228799999,120179301.17898640,213792,259904.04578000,62129185.47385130,0
2020-06-04 16:59:59.999,1591228800000,244.54000000,246.60000000,236.00000000,243.21000000,669369.33920000,1591315199999,162460397.62767410,253226,332175.55769000,80659519.34918510,0
2020-06-05 16:59:59.999,1591315200000,243.22000000,247.87000000,239.14000000,240.03000000,502547.41103000,1591401599999,122084004.51697550,205337,242309.99059000,58916816.25847680,0
2020-06-06 16:59:59.999,1591401600000,240.04000000,244.70000000,237.83000000,241.94000000,389423.07798000,1591487999999,93979350.81263390,161709,198723.53956000,47973780.54283710,0
2020-06-07 16:59:59.999,1591488000000,241.94000000,245.37000000,234.60000000,244.56000000,571102.55515000,1591574399999,137165732.64761660,226478,285159.65388000,68517428.42271850,0
2020-06-08 16:59:59.999,1591574400000,244.57000000,247.70000000,240.59000000,246.40000000,383116.54719000,1591660799999,93355224.96830870,159981,193451.07601000,47159340.96864370,0
2020-06-09 16:59:59.999,1591660800000,246.37000000,249.82000000,238.00000000,243.80000000,420327.17133000,1591747199999,102374504.57389720,185974,202641.07177000,49369436.33086970,0
2020-06-10 16:59:59.999,1591747200000,243.79000000,250.28000000,242.00000000,247.78000000,431285.61715000,1591833599999,105797248.24742570,185330,221305.11120000,54322143.50039510,0
2020-06-11 16:59:59.999,1591833600000,247.78000000,250.09000000,226.20000000,230.51000000,816456.89161000,1591919999999,195063781.27644910,312655,373492.34304000,89279896.48515260,0
2020-06-12 16:59:59.999,1591920000000,230.46000000,239.38000000,228.19000000,237.55000000,446515.34124000,1592006399999,105069425.09010670,181977,224589.29616000,52877894.61382670,0
2020-06-13 16:59:59.999,1592006400000,237.55000000,238.73000000,234.66000000,238.11000000,253797.78090000,1592092799999,60087772.65246530,134555,126898.09775000,30052109.58823630,0
2020-06-14 16:59:59.999,1592092800000,238.13000000,238.59000000,229.83000000,231.77000000,304943.21188000,1592179199999,71575514.08027260,158093,150190.06138000,35264141.20722390,0
2020-06-15 16:59:59.999,1592179200000,231.74000000,233.55000000,218.27000000,230.86000000,875026.92057000,1592265599999,197907504.77877360,308126,410989.99093000,92965284.36529640,0
2020-06-16 16:59:59.999,1592265600000,230.86000000,236.00000000,228.70000000,235.30000000,499194.66758000,1592351999999,116456364.23126830,188136,252188.71079000,58831595.30783300,0
2020-06-17 16:59:59.999,1592352000000,235.31000000,237.30000000,227.65000000,233.82000000,478187.29170000,1592438399999,111415059.05626230,189653,232960.69025000,54288236.15848750,0
