symbol,price
ETHBTC,0.06242800
LTCBTC,0.00309400
BNBBTC,0.00821400
NEOBTC,0.00079400
QTUMETH,0.00376000
EOSETH,0.00129000
SNTETH,0.00002549
BNTETH,0.00109600
BCCBTC,0.07908100
GASBTC,0.00016400
BNBETH,0.13160000
BTCUSDT,56131.37000000
ETHUSDT,3504.38000000
HSRBTC,0.00041400
OAXETH,0.00017780
DNTETH,0.00002801
MCOETH,0.00577200
ICNETH,0.00166300
MCOBTC,0.00021140
WTCBTC,0.00001676
WTCETH,0.00023700
LRCBTC,0.00000666
LRCETH,0.00010678
QTUMBTC,0.00023480
YOYOBTC,0.00000042
OMGBTC,0.00027420
OMGETH,0.00439200
ZRXBTC,0.00001807
ZRXETH,0.00028950
STRATBTC,0.00003085
STRATETH,0.00105300
SNGLSBTC,0.00000013
SNGLSETH,0.00005306
BQXBTC,0.00008703
BQXETH,0.00126350
KNCBTC,0.00002984
KNCETH,0.00047820
FUNBTC,0.00000036
FUNETH,0.00000570
SNMBTC,0.00000360
SNMETH,0.00004986
NEOETH,0.01269000
IOTABTC,0.00002406
IOTAETH,0.00038550
LINKBTC,0.00044410
LINKETH,0.00711100
XVGBTC,0.00000042
XVGETH,0.00000661
SALTBTC,0.00004250
SALTETH,0.00113800
MDABTC,0.00001294
MDAETH,0.00181150
MTLBTC,0.00005999
MTLETH,0.00096250
SUBBTC,0.00000457
SUBETH,0.00012334
EOSBTC,0.00008070
SNTBTC,0.00000160
ETCETH,0.01509000
ETCBTC,0.00094300
MTHBTC,0.00000077
MTHETH,0.00004135
ENGBTC,0.00006200
ENGETH,0.00186480
DNTBTC,0.00000258
ZECBTC,0.00209200
ZECETH,0.03351000
BNTBTC,0.00006816
ASTBTC,0.00000413
ASTETH,0.00006960
DASHBTC,0.00321400
DASHETH,0.05137000
OAXBTC,0.00000369
ICNBTC,0.00005742
BTGBTC,0.00121700
BTGETH,0.05274500
EVXBTC,0.00001099
EVXETH,0.00062490
REQBTC,0.00000401
REQETH,0.00004995
VIBBTC,0.00000100
VIBETH,0.00001601
HSRETH,0.01247400
TRXBTC,0.00000172
TRXETH,0.00002748
POWRBTC,0.00000652
POWRETH,0.00010450
ARKBTC,0.00002917
ARKETH,0.00104600
YOYOETH,0.00005828
XRPBTC,0.00001983
XRPETH,0.00031750
MODBTC,0.00004280
MODETH,0.00116700
ENJBTC,0.00002763
ENJETH,0.00044190
STORJBTC,0.00002335
STORJETH,0.00029910
BNBUSDT,461.00000000
VENBNB,0.14920000
YOYOBNB,0.00059800
POWRBNB,0.00385000
VENBTC,0.00013928
VENETH,0.00325194
KMDBTC,0.00001769
KMDETH,0.00028280
NULSBNB,0.01257000
RCNBTC,0.00000074
RCNETH,0.00037604
RCNBNB,0.00347300
NULSBTC,0.00000956
NULSETH,0.00051926
RDNBTC,0.00001150
RDNETH,0.00071530
RDNBNB,0.00623000
XMRBTC,0.00500200
XMRETH,0.08029000
DLTBNB,0.00240000
WTCBNB,0.00180500
DLTBTC,0.00000164
DLTETH,0.00016807
AMBBTC,0.00000059
AMBETH,0.00004100
AMBBNB,0.00068500
BCCETH,2.47246000
BCCUSDT,448.70000000
BCCBNB,54.29000000
BATBTC,0.00001257
BATETH,0.00020070
BATBNB,0.00183100
BCPTBTC,0.00000048
BCPTETH,0.00008181
BCPTBNB,0.00116200
ARNBTC,0.00000761
ARNETH,0.00029362
GVTBTC,0.00005813
GVTETH,0.00384600
CDTBTC,0.00000169
CDTETH,0.00002703
GXSBTC,0.00001058
GXSETH,0.00016990
NEOUSDT,44.50000000
NEOBNB,0.09650000
POEBTC,0.00000005
POEETH,0.00000664
QSPBTC,0.00000109
QSPETH,0.00001763
QSPBNB,0.00052350
BTSBTC,0.00000079
BTSETH,0.00009498
BTSBNB,0.00144800
XZCBTC,0.00013550
XZCETH,0.00310000
XZCBNB,0.26750000
LSKBTC,0.00005649
LSKETH,0.00091700
LSKBNB,0.06494000
TNTBTC,0.00000261
TNTETH,0.00000920
FUELBTC,0.00000026
FUELETH,0.00002221
MANABTC,0.00001345
MANAETH,0.00021480
BCDBTC,0.00004120
BCDETH,0.00251000
DGDBTC,0.00393100
DGDETH,0.19260000
IOTABNB,0.00292400
ADXBTC,0.00000934
ADXETH,0.00014980
ADXBNB,0.00492900
ADABTC,0.00003793
ADAETH,0.00060750
PPTBTC,0.00001855
PPTETH,0.00141000
CMTBTC,0.00000028
CMTETH,0.00000625
CMTBNB,0.00057700
XLMBTC,0.00000616
XLMETH,0.00009840
XLMBNB,0.00074890
CNDBTC,0.00000028
CNDETH,0.00002599
CNDBNB,0.00033990
LENDBTC,0.00004512
LENDETH,0.00137174
WABIBTC,0.00000454
WABIETH,0.00040308
WABIBNB,0.00055230
LTCETH,0.04957000
LTCUSDT,173.60000000
LTCBNB,0.37660000
TNBBTC,0.00000007
TNBETH,0.00000752
WAVESBTC,0.00052180
WAVESETH,0.00835500
WAVESBNB,0.06351000
GTOBTC,0.00000070
GTOETH,0.00003197
GTOBNB,0.00035200
ICXBTC,0.00003683
ICXETH,0.00058870
ICXBNB,0.00465400
OSTBTC,0.00000032
OSTETH,0.00000225
OSTBNB,0.00052500
ELFBTC,0.00001171
ELFETH,0.00018750
AIONBTC,0.00000294
AIONETH,0.00004696
AIONBNB,0.00261300
NEBLBTC,0.00002221
NEBLETH,0.00035750
NEBLBNB,0.01356000
BRDBTC,0.00000292
BRDETH,0.00004687
BRDBNB,0.00247000
MCOBNB,0.26837000
EDOBTC,0.00005609
EDOETH,0.00226600
WINGSBTC,0.00001193
WINGSETH,0.00033460
NAVBTC,0.00000719
NAVETH,0.00011870
NAVBNB,0.00423700
LUNBTC,0.00008510
LUNETH,0.00489100
TRIGBTC,0.00001980
TRIGETH,0.00059400
TRIGBNB,0.01218000
APPCBTC,0.00000130
APPCETH,0.00014600
APPCBNB,0.00189100
VIBEBTC,0.00000042
VIBEETH,0.00005720
RLCBTC,0.00007182
RLCETH,0.00115100
RLCBNB,0.03344000
INSBTC,0.00000618
INSETH,0.00050100
PIVXBTC,0.00001353
PIVXETH,0.00021670
PIVXBNB,0.01660000
IOSTBTC,0.00000096
IOSTETH,0.00001532
CHATBTC,0.00000195
CHATETH,0.00006585
STEEMBTC,0.00001061
STEEMETH,0.00017040
STEEMBNB,0.00448000
NANOBTC,0.00009130
NANOETH,0.00146200
NANOBNB,0.05589000
VIABTC,0.00000681
VIAETH,0.00085600
VIABNB,0.00958000
BLZBTC,0.00000412
BLZETH,0.00006610
BLZBNB,0.00062190
AEBTC,0.00000292
AEETH,0.00021900
AEBNB,0.00777000
RPXBTC,0.00000224
RPXETH,0.00005449
RPXBNB,0.00145700
NCASHBTC,0.00000005
NCASHETH,0.00000067
NCASHBNB,0.00006790
POABTC,0.00000063
POAETH,0.00004891
POABNB,0.00092100
ZILBTC,0.00000164
ZILETH,0.00002639
ZILBNB,0.00019990
ONTBTC,0.00001662
ONTETH,0.00026580
ONTBNB,0.00246200
STORMBTC,0.00000035
STORMETH,0.00001398
STORMBNB,0.00006550
QTUMBNB,0.09597000
QTUMUSDT,13.17400000
XEMBTC,0.00000310
XEMETH,0.00004964
XEMBNB,0.00244100
WANBTC,0.00001611
WANETH,0.00025880
WANBNB,0.00181000
WPRBTC,0.00000027
WPRETH,0.00004020
QLCBTC,0.00000056
QLCETH,0.00000886
SYSBTC,0.00000492
SYSETH,0.00011047
SYSBNB,0.00163500
QLCBNB,0.00092200
GRSBTC,0.00001753
GRSETH,0.00076455
ADAUSDT,2.12900000
ADABNB,0.00461300
CLOAKBTC,0.00015550
CLOAKETH,0.00414200
GNTBTC,0.00000678
GNTETH,0.00022071
GNTBNB,0.00243900
LOOMBTC,0.00000193
LOOMETH,0.00003080
LOOMBNB,0.00088500
XRPUSDT,1.11260000
BCNBTC,0.00000022
BCNETH,0.00000707
BCNBNB,0.00002000
REPBTC,0.00043140
REPETH,0.00689000
REPBNB,0.44670000
BTCTUSD,56217.70000000
TUSDBTC,0.00025971
ETHTUSD,3511.01000000
TUSDETH,0.00762097
TUSDBNB,0.06777000
ZENBTC,0.00130200
ZENETH,0.02087000
ZENBNB,0.15780000
SKYBTC,0.00002096
SKYETH,0.00222000
SKYBNB,0.03022000
EOSUSDT,4.52500000
EOSBNB,0.00981000
CVCBTC,0.00000878
CVCETH,0.00014170
CVCBNB,0.00211200
THETABTC,0.00010590
THETAETH,0.00169700
THETABNB,0.01290000
XRPBNB,0.00241400
TUSDUSDT,1.00000000
IOTAUSDT,1.35040000
XLMUSDT,0.34540000
IOTXBTC,0.00000122
IOTXETH,0.00001965
QKCBTC,0.00000059
QKCETH,0.00000927
AGIBTC,0.00000668
AGIETH,0.00007363
AGIBNB,0.00077200
NXSBTC,0.00001133
NXSETH,0.00077300
NXSBNB,0.01087000
ENJBNB,0.00335400
DATABTC,0.00000281
DATAETH,0.00004509
ONTUSDT,0.93260000
TRXBNB,0.00020880
TRXUSDT,0.09629000
ETCUSDT,52.86000000
ETCBNB,0.11450000
ICXUSDT,2.06500000
SCBTC,0.00000032
SCETH,0.00000527
SCBNB,0.00004003
NPXSBTC,0.00000003
NPXSETH,0.00000345
VENUSDT,0.00010000
KEYBTC,0.00000013
KEYETH,0.00000264
NASBTC,0.00000670
NASETH,0.00010630
NASBNB,0.02337000
MFTBTC,0.00000008
MFTETH,0.00000389
MFTBNB,0.00002936
DENTBTC,0.00000004
DENTETH,0.00000153
ARDRBTC,0.00000608
ARDRETH,0.00018870
ARDRBNB,0.00316800
NULSUSDT,0.53700000
HOTBTC,0.00000002
HOTETH,0.00000261
VETBTC,0.00000193
VETETH,0.00003086
VETUSDT,0.10801000
VETBNB,0.00023450
DOCKBTC,0.00000146
DOCKETH,0.00003283
POLYBTC,0.00001302
POLYBNB,0.00145900
PHXBTC,0.00000180
PHXETH,0.00005617
PHXBNB,0.00045600
HCBTC,0.00002000
HCETH,0.00513400
GOBTC,0.00000056
GOBNB,0.00069230
PAXBTC,0.00025175
PAXBNB,0.20121000
PAXUSDT,0.99960000
PAXETH,0.00888047
