symbol,price
ETHBTC,0.06332500
LTCBTC,0.00307000
BNBBTC,0.00765400
NEOBTC,0.00073000
QTUMETH,0.00331000
EOSETH,0.00119000
SNTETH,0.00002339
BNTETH,0.00106600
BCCBTC,0.07908100
GASBTC,0.00014640
BNBETH,0.12090000
BTCUSDT,60984.72000000
ETHUSDT,3861.62000000
HSRBTC,0.00041400
OAXETH,0.00017780
DNTETH,0.00002801
MCOETH,0.00577200
ICNETH,0.00166300
MCOBTC,0.00021140
WTCBTC,0.00001690
WTCETH,0.00023700
LRCBTC,0.00000689
LRCETH,0.00010864
QTUMBTC,0.00020980
YOYOBTC,0.00000040
OMGBTC,0.00023070
OMGETH,0.00364200
ZRXBTC,0.00001652
ZRXETH,0.00026090
STRATBTC,0.00003085
STRATETH,0.00105300
SNGLSBTC,0.00000013
SNGLSETH,0.00005306
BQXBTC,0.00008703
BQXETH,0.00126350
KNCBTC,0.00002782
KNCETH,0.00043920
FUNBTC,0.00000034
FUNETH,0.00000538
SNMBTC,0.00000413
SNMETH,0.00004986
NEOETH,0.01153000
IOTABTC,0.00002180
IOTAETH,0.00034360
LINKBTC,0.00045610
LINKETH,0.00719900
XVGBTC,0.00000042
XVGETH,0.00000648
SALTBTC,0.00004250
SALTETH,0.00113800
MDABTC,0.00001254
MDAETH,0.00181150
MTLBTC,0.00005304
MTLETH,0.00083690
SUBBTC,0.00000457
SUBETH,0.00012334
EOSBTC,0.00007540
SNTBTC,0.00000148
ETCETH,0.01412000
ETCBTC,0.00089500
MTHBTC,0.00000063
MTHETH,0.00004135
ENGBTC,0.00006200
ENGETH,0.00186480
DNTBTC,0.00000269
ZECBTC,0.00207600
ZECETH,0.03275000
BNTBTC,0.00006760
ASTBTC,0.00000408
ASTETH,0.00006960
DASHBTC,0.00316300
DASHETH,0.04993000
OAXBTC,0.00000419
ICNBTC,0.00005742
BTGBTC,0.00114000
BTGETH,0.05274500
EVXBTC,0.00001031
EVXETH,0.00062490
REQBTC,0.00000346
REQETH,0.00004995
VIBBTC,0.00000094
VIBETH,0.00001466
HSRETH,0.01247400
TRXBTC,0.00000162
TRXETH,0.00002562
POWRBTC,0.00000583
POWRETH,0.00009210
ARKBTC,0.00002778
ARKETH,0.00104600
YOYOETH,0.00005828
XRPBTC,0.00001880
XRPETH,0.00029660
MODBTC,0.00004280
