symbol,price
ETHBTC,0.06223800
LTCBTC,0.00306800
BNBBTC,0.00765900
NEOBTC,0.00072100
QTUMETH,0.00329900
EOSETH,0.00119900
SNTETH,0.00002289
BNTETH,0.00107200
BCCBTC,0.07908100
GASBTC,0.00014370
BNBETH,0.12300000
BTCUSDT,61727.27000000
ETHUSDT,3841.73000000
HSRBTC,0.00041400
OAXETH,0.00017780
DNTETH,0.00002801
MCOETH,0.00577200
ICNETH,0.00166300
MCOBTC,0.00021140
WTCBTC,0.00001586
WTCETH,0.00023700
LRCBTC,0.00000694
LRCETH,0.00011167
QTUMBTC,0.00020510
YOYOBTC,0.00000039
OMGBTC,0.00022660
OMGETH,0.00364500
ZRXBTC,0.00001631
ZRXETH,0.00026190
STRATBTC,0.00003085
STRATETH,0.00105300
SNGLSBTC,0.00000013
SNGLSETH,0.00005306
BQXBTC,0.00008703
BQXETH,0.00126350
KNCBTC,0.00002772
KNCETH,0.00044560
FUNBTC,0.00000034
FUNETH,0.00000544
SNMBTC,0.00000380
SNMETH,0.00004986
NEOETH,0.01160000
IOTABTC,0.00002073
IOTAETH,0.00033410
LINKBTC,0.00043840
LINKETH,0.00705000
XVGBTC,0.00000042
XVGETH,0.00000657
SALTBTC,0.00004250
SALTETH,0.00113800
MDABTC,0.00001253
MDAETH,0.00181150
MTLBTC,0.00005231
MTLETH,0.00084100
SUBBTC,0.00000457
SUBETH,0.00012334
EOSBTC,0.00007470
SNTBTC,0.00000141
ETCETH,0.01406000
ETCBTC,0.00087600
MTHBTC,0.00000061
MTHETH,0.00004135
ENGBTC,0.00006200
ENGETH,0.00186480
DNTBTC,0.00000254
ZECBTC,0.00202500
ZECETH,0.03253000
BNTBTC,0.00006661
ASTBTC,0.00000407
ASTETH,0.00006960
DASHBTC,0.00312800
DASHETH,0.05026000
OAXBTC,0.00000407
ICNBTC,0.00005742
BTGBTC,0.00113600
BTGETH,0.05274500
EVXBTC,0.00001013
EVXETH,0.00062490
REQBTC,0.00000345
REQETH,0.00004995
VIBBTC,0.00000094
VIBETH,0.00001523
HSRETH,0.01247400
TRXBTC,0.00000160
TRXETH,0.00002571
POWRBTC,0.00000572
POWRETH,0.00009190
ARKBTC,0.00002773
ARKETH,0.00104600
YOYOETH,0.00005828
XRPBTC,0.00001847
XRPETH,0.00029660
MODBTC,0.00004280
MODETH,0.00116700
ENJBTC,0.00002624
ENJETH,0.00042250
STORJBTC,0.00002114
STORJETH,0.00029910
BNBUSDT,473.00000000
VENBNB,0.14920000
YOYOBNB,0.00059800
POWRBNB,0.00385000
VENBTC,0.00013928
VENETH,0.00325194
KMDBTC,0.00001687
KMDETH,0.00027110
NULSBNB,0.01257000
RCNBTC,0.00000074
RCNETH,0.00037604
RCNBNB,0.00347300
NULSBTC,0.00000915
NULSETH,0.00051926
RDNBTC,0.00001053
RDNETH,0.00071530
RDNBNB,0.00623000
XMRBTC,0.00434500
XMRETH,0.06984000
DLTBNB,0.00240000
WTCBNB,0.00180500
DLTBTC,0.00000165
DLTETH,0.00016807
AMBBTC,0.00000059
AMBETH,0.00004100
AMBBNB,0.00068500
BCCETH,2.47246000
BCCUSDT,448.70000000
BCCBNB,54.29000000
BATBTC,0.00001124
BATETH,0.00017930
BATBNB,0.00183100
BCPTBTC,0.00000048
BCPTETH,0.00008181
BCPTBNB,0.00116200
ARNBTC,0.00000761
ARNETH,0.00029362
GVTBTC,0.00006005
GVTETH,0.00384600
CDTBTC,0.00000244
CDTETH,0.00003949
GXSBTC,0.00000999
GXSETH,0.00016070
NEOUSDT,44.55000000
NEOBNB,0.09440000
POEBTC,0.00000005
POEETH,0.00000664
QSPBTC,0.00000097
QSPETH,0.00001565
QSPBNB,0.00052350
BTSBTC,0.00000085
BTSETH,0.00009498
BTSBNB,0.00144800
XZCBTC,0.00013550
XZCETH,0.00310000
XZCBNB,0.26750000
LSKBTC,0.00005678
LSKETH,0.00090700
LSKBNB,0.06494000
TNTBTC,0.00000261
TNTETH,0.00000920
FUELBTC,0.00000026
FUELETH,0.00002221
MANABTC,0.00001231
MANAETH,0.00019790
BCDBTC,0.00003776
BCDETH,0.00251000
DGDBTC,0.00393100
DGDETH,0.19260000
IOTABNB,0.00271300
ADXBTC,0.00000903
ADXETH,0.00014530
ADXBNB,0.00492900
ADABTC,0.00003584
ADAETH,0.00057570
PPTBTC,0.00001855
PPTETH,0.00141000
CMTBTC,0.00000028
CMTETH,0.00000625
CMTBNB,0.00057700
XLMBTC,0.00000601
XLMETH,0.00009640
XLMBNB,0.00078600
CNDBTC,0.00000026
CNDETH,0.00002599
CNDBNB,0.00033990
LENDBTC,0.00004512
LENDETH,0.00137174
WABIBTC,0.00000371
WABIETH,0.00040308
WABIBNB,0.00048420
LTCETH,0.04929000
LTCUSDT,189.40000000
LTCBNB,0.40070000
TNBBTC,0.00000007
TNBETH,0.00000752
WAVESBTC,0.00048510
WAVESETH,0.00779400
WAVESBNB,0.06340000
GTOBTC,0.00000068
GTOETH,0.00003197
GTOBNB,0.00035200
ICXBTC,0.00003251
ICXETH,0.00052220
ICXBNB,0.00465400
OSTBTC,0.00000032
OSTETH,0.00000225
OSTBNB,0.00052500
ELFBTC,0.00000984
ELFETH,0.00015820
AIONBTC,0.00000291
AIONETH,0.00004656
AIONBNB,0.00261300
NEBLBTC,0.00002239
NEBLETH,0.00036110
NEBLBNB,0.01356000
BRDBTC,0.00000347
BRDETH,0.00005507
BRDBNB,0.00247000
MCOBNB,0.26837000
EDOBTC,0.00005609
EDOETH,0.00226600
WINGSBTC,0.00001193
WINGSETH,0.00033460
NAVBTC,0.00000771
NAVETH,0.00011870
NAVBNB,0.00423700
LUNBTC,0.00008510
LUNETH,0.00489100
TRIGBTC,0.00001980
TRIGETH,0.00059400
TRIGBNB,0.01218000
APPCBTC,0.00000137
APPCETH,0.00014600
APPCBNB,0.00189100
VIBEBTC,0.00000042
VIBEETH,0.00005720
RLCBTC,0.00007403
RLCETH,0.00119300
RLCBNB,0.03344000
INSBTC,0.00000618
INSETH,0.00050100
PIVXBTC,0.00001202
PIVXETH,0.00019380
PIVXBNB,0.01660000
IOSTBTC,0.00000083
IOSTETH,0.00001346
CHATBTC,0.00000195
CHATETH,0.00006585
STEEMBTC,0.00000931
STEEMETH,0.00015000
STEEMBNB,0.00448000
NANOBTC,0.00008840
NANOETH,0.00142000
NANOBNB,0.05589000
VIABTC,0.00000681
VIAETH,0.00085600
VIABNB,0.00958000
BLZBTC,0.00000431
BLZETH,0.00006938
BLZBNB,0.00062190
AEBTC,0.00000292
AEETH,0.00021900
AEBNB,0.00777000
RPXBTC,0.00000224
RPXETH,0.00005449
RPXBNB,0.00145700
NCASHBTC,0.00000005
NCASHETH,0.00000064
NCASHBNB,0.00006790
POABTC,0.00000064
POAETH,0.00004891
POABNB,0.00092100
ZILBTC,0.00000156
ZILETH,0.00002498
ZILBNB,0.00020270
ONTBTC,0.00001544
ONTETH,0.00024790
ONTBNB,0.00246200
STORMBTC,0.00000035
STORMETH,0.00001398
STORMBNB,0.00006550
QTUMBNB,0.09597000
QTUMUSDT,12.67300000
XEMBTC,0.00000279
XEMETH,0.00004464
XEMBNB,0.00244100
WANBTC,0.00001470
WANETH,0.00023590
WANBNB,0.00181000
WPRBTC,0.00000027
WPRETH,0.00004020
QLCBTC,0.00000055
QLCETH,0.00000879
SYSBTC,0.00000437
SYSETH,0.00011047
SYSBNB,0.00163500
QLCBNB,0.00092200
GRSBTC,0.00001569
GRSETH,0.00076455
ADAUSDT,2.21300000
ADABNB,0.00467900
CLOAKBTC,0.00015550
CLOAKETH,0.00414200
GNTBTC,0.00000678
GNTETH,0.00022071
GNTBNB,0.00243900
LOOMBTC,0.00000168
LOOMETH,0.00002689
LOOMBNB,0.00088500
XRPUSDT,1.13970000
BCNBTC,0.00000022
BCNETH,0.00000707
BCNBNB,0.00002000
REPBTC,0.00038690
REPETH,0.00621600
REPBNB,0.44670000
BTCTUSD,61725.36000000
TUSDBTC,0.00025971
ETHTUSD,3843.93000000
TUSDETH,0.00762097
TUSDBNB,0.06777000
ZENBTC,0.00131100
ZENETH,0.02111000
ZENBNB,0.17120000
SKYBTC,0.00001896
SKYETH,0.00222000
SKYBNB,0.03022000
EOSUSDT,4.60800000
EOSBNB,0.00976000
CVCBTC,0.00000769
CVCETH,0.00012430
CVCBNB,0.00211200
THETABTC,0.00010070
THETAETH,0.00162100
THETABNB,0.01317000
XRPBNB,0.00241200
TUSDUSDT,1.00010000
IOTAUSDT,1.28110000
XLMUSDT,0.37160000
